Year,LSOA Code,Population
2014,E01024946,1186
2014,E01024947,1366
2014,E01024955,1466
2014,E01024956,1435
2014,E01024957,1486
2014,E01024958,1375
2014,E01024948,1567
2014,E01024949,2922
2014,E01024950,1420
2014,E01024977,2275
2014,E01024967,1236
2014,E01024968,1991
2014,E01024969,1323
2014,E01024970,1339
2014,E01024971,1297
2014,E01024972,1182
2014,E01024929,1295
2014,E01024930,1453
2014,E01024931,1469
2014,E01024932,1030
2014,E01024933,1368
2014,E01024937,1495
2014,E01024964,1440
2014,E01024974,1553
2014,E01024975,3105
2014,E01024976,1588
2014,E01024919,3981
2014,E01024920,1926
2014,E01024934,1524
2014,E01024935,1408
2014,E01024925,1713
2014,E01024926,2169
2014,E01024927,1774
2014,E01024928,1461
2014,E01024936,1560
2014,E01024938,2013
2014,E01024939,1936
2014,E01024940,1874
2014,E01024941,1606
2014,E01024923,1217
2014,E01024924,1463
2014,E01024963,1549
2014,E01024965,1433
2014,E01024966,1671
2014,E01024942,1740
2014,E01024943,2320
2014,E01024944,1926
2014,E01024945,3167
2014,E01024922,1469
2014,E01024959,1728
2014,E01024960,1585
2014,E01024961,1649
2014,E01024962,1551
2014,E01024915,2332
2014,E01024916,1848
2014,E01024917,1716
2014,E01024918,1742
2014,E01024973,2176
2014,E01024993,1449
2014,E01025026,1326
2014,E01025027,1858
2014,E01025028,1400
2014,E01025031,1243
2014,E01025007,1277
2014,E01025008,1161
2014,E01025009,1521
2014,E01025011,1453
2014,E01025012,2166
2014,E01025013,1794
2014,E01025019,1416
2014,E01024998,1781
2014,E01025010,1876
2014,E01025014,1684
2014,E01025015,1478
2014,E01025004,1408
2014,E01025006,1333
2014,E01025023,1318
2014,E01025024,1393
2014,E01025025,1594
2014,E01025001,1509
2014,E01025002,1391
2014,E01025005,1537
2014,E01025016,2471
2014,E01025018,1203
2014,E01024984,1435
2014,E01024985,1300
2014,E01024986,1568
2014,E01024987,1361
2014,E01024988,1580
2014,E01024989,1459
2014,E01024996,1218
2014,E01024997,1462
2014,E01024999,1441
2014,E01025000,1261
2014,E01025029,1972
2014,E01025030,1737
2014,E01024981,1407
2014,E01024982,1486
2014,E01024983,1526
2014,E01024994,1624
2014,E01024995,1384
2014,E01025003,1655
2014,E01025017,1395
2014,E01024990,1432
2014,E01024991,1092
2014,E01024992,1398
2014,E01025020,1429
2014,E01025021,1445
2014,E01025022,2033
2014,E01025060,1476
2014,E01025061,1453
2014,E01025062,1559
2014,E01025063,1488
2014,E01025064,1623
2014,E01025065,1729
2014,E01025066,1533
2014,E01025032,1485
2014,E01025033,2222
2014,E01025034,1650
2014,E01025048,1477
2014,E01025049,1572
2014,E01025050,1483
2014,E01025053,1560
2014,E01025070,1152
2014,E01025071,1348
2014,E01025072,1343
2014,E01025073,1213
2014,E01025074,1418
2014,E01025051,1507
2014,E01025052,1638
2014,E01025057,1597
2014,E01025058,1463
2014,E01025059,1525
2014,E01025067,1456
2014,E01025068,1440
2014,E01025069,1469
2014,E01025044,1246
2014,E01025045,1292
2014,E01025046,1143
2014,E01025081,1567
2014,E01025041,1674
2014,E01025042,2183
2014,E01025082,1737
2014,E01025083,2009
2014,E01025084,1560
2014,E01033231,2928
2014,E01025055,1540
2014,E01025075,1714
2014,E01025076,1366
2014,E01025077,1332
